Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,086079,1919,24.0,27.1,20.2,20.7,16.9,13.5,12.1,14.1,16.3,18.8,21.6,24.5,19.2
IDCJAC0002,086079,1920,22.7,26.1,21.9,18.2,14.3,13.1,13.0,13.2,15.7,18.4,19.8,23.2,18.3
IDCJAC0002,086079,1921,25.4,26.2,22.9,19.6,16.8,13.7,13.1,13.2,16.8,17.4,21.2,21.1,18.9
IDCJAC0002,086079,1922,23.9,25.6,26.1,19.3,15.8,13.1,13.4,13.1,15.1,17.6,20.3,22.3,18.8
IDCJAC0002,086079,1923,22.8,23.7,21.7,21.7,16.4,13.2,12.2,13.6,14.7,17.1,18.9,22.0,18.2
IDCJAC0002,086079,1924,23.5,22.6,21.5,16.7,15.2,12.3,null,null,null,null,null,null,null
IDCJAC0002,086079,1925,null,null,null,null,null,null,null,null,null,18.7,20.7,22.2,null
IDCJAC0002,086079,1932,25.8,22.3,21.7,18.9,15.8,13.3,12.4,13.7,16.8,16.2,21.2,21.7,18.3
IDCJAC0002,086079,1933,22.8,25.0,24.3,19.7,15.8,14.9,13.5,13.3,15.7,18.3,21.0,25.8,19.2
IDCJAC0002,086079,1934,26.9,26.2,27.5,18.3,17.8,13.6,13.8,15.4,17.2,17.2,21.1,22.6,19.8
IDCJAC0002,086079,1935,23.8,25.4,22.3,18.4,15.8,14.2,12.9,14.7,16.6,18.7,20.7,23.8,18.9
IDCJAC0002,086079,1936,26.4,26.1,26.2,18.0,17.2,13.6,12.7,13.9,14.1,17.8,20.2,23.5,19.1
IDCJAC0002,086079,1937,22.9,25.2,25.3,19.2,15.9,12.9,13.6,15.4,16.8,19.8,23.4,24.3,19.6
IDCJAC0002,086079,1938,26.3,26.5,22.9,23.2,19.2,13.6,12.9,14.1,16.3,19.9,22.1,22.8,20.0
IDCJAC0002,086079,1939,26.9,27.2,23.4,20.0,17.5,14.0,12.4,12.8,15.1,17.6,19.5,21.6,19.0
IDCJAC0002,086079,1940,25.4,23.4,27.8,19.4,15.6,13.6,13.1,14.4,17.3,21.6,19.6,24.8,19.7
IDCJAC0002,086079,1941,24.0,24.3,21.3,21.6,17.2,13.6,12.6,13.8,15.4,16.2,20.1,22.9,18.6
IDCJAC0002,086079,1942,24.5,24.7,23.2,18.7,15.3,13.5,12.6,13.6,16.2,18.9,20.3,23.4,18.7
IDCJAC0002,086079,1943,25.6,23.1,22.5,17.8,14.9,12.1,11.9,12.4,15.0,17.0,19.6,21.7,17.8
IDCJAC0002,086079,1944,25.3,23.6,22.6,17.2,15.6,12.7,12.3,12.9,16.3,17.9,20.4,23.1,18.3
IDCJAC0002,086079,1945,23.9,22.4,19.6,17.6,15.3,14.7,11.3,13.8,15.3,16.9,20.8,24.4,18.0
